,Test_ACC,Test_MAE,Train_ACC,Train_MAE,Validation_ACC,Validation_MAE,cop_level,hidden_l_sizes,learning_rate,lr_pretrain,size
1,0.9486166007905138,0.21223577934352983,0.9851116625310173,0.16883608667007372,0.9455445544554455,0.15826879717674738,,12,0.0518265759529575,,1
2,0.9367588932806324,0.1976284584980237,0.9826302729528535,0.1668411233367609,0.9455445544554455,0.15826879717674738,,7,0.09258048300615097,,1
3,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9455445544554455,0.16640525438682482,,27,0.04480891771519498,,1
4,0.9565217391304348,0.21223577934352983,0.9900744416873449,0.1728260133366993,0.9455445544554455,0.16640525438682482,,25,0.03397880850657365,,1
5,0.9486166007905138,0.21223577934352983,0.9900744416873449,0.1728260133366993,0.9455445544554455,0.16640525438682482,,23,0.010143203189079297,,1
6,0.9486166007905138,0.20054992266712493,0.9826302729528535,0.16883608667007372,0.9356435643564357,0.15013233996666994,,19,0.07997736765990501,,1
7,0.9407114624505929,0.20054992266712493,0.9801488833746899,0.16883608667007372,0.9356435643564357,0.16640525438682482,,7,0.07908110222844296,,1
8,0.9446640316205533,0.20347138683622615,0.9789081885856079,0.17182853167004292,0.9405940594059405,0.178609940201941,,4,0.013080635203419462,,1
9,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,31,0.07687355021463554,,1
10,0.9407114624505929,0.1947069943289225,0.9776674937965261,0.1648461600034481,0.9603960396039604,0.13792765415155378,,7,0.024012565909195652,,1
11,0.9486166007905138,0.20639285100532737,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.16640525438682482,,29,0.08967324231523142,,1
12,0.9486166007905138,0.21223577934352983,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,37,0.030443478670019584,,1
13,0.9565217391304348,0.21223577934352983,0.988833746898263,0.17182853167004292,0.9455445544554455,0.16640525438682482,,25,0.06455434879230244,,1
14,0.9367588932806324,0.19178553015982128,0.9764267990074442,0.16384867833679168,0.9455445544554455,0.15826879717674738,,6,0.09944628733048484,,1
15,0.9486166007905138,0.21807870768173226,0.9900744416873449,0.1728260133366993,0.9455445544554455,0.17454171159690227,,38,0.03789852794171456,,1
16,0.9407114624505929,0.20054992266712493,0.9851116625310173,0.16883608667007372,0.9405940594059405,0.1623370257817861,,24,0.059654698484050105,,1
17,0.9486166007905138,0.21807870768173226,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.17454171159690227,,39,0.09845938047787678,,1
18,0.9446640316205533,0.20931431517442858,0.9813895781637717,0.1698335683367301,0.9455445544554455,0.15826879717674738,,7,0.057297864812310015,,1
19,0.9486166007905138,0.20639285100532737,0.9875930521091811,0.17083105000338653,0.9455445544554455,0.16640525438682482,,15,0.08752686671519432,,1
20,0.9525691699604744,0.20931431517442858,0.988833746898263,0.17182853167004292,0.9455445544554455,0.16640525438682482,,32,0.030886527400390048,,1
21,0.932806324110672,0.18886406599072006,0.9776674937965261,0.16285119667013528,0.9504950495049505,0.14606411136163122,,36,0.024525409381172033,,1
22,0.9565217391304348,0.21223577934352983,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,19,0.07897043915427522,,1
23,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,28,0.0697620968073171,,1
24,0.9486166007905138,0.21223577934352983,0.9801488833746899,0.17881090333663774,0.9356435643564357,0.17454171159690227,,8,0.053741696887871546,,1
25,0.9407114624505929,0.20054992266712493,0.9863523573200993,0.1678386050034173,0.9455445544554455,0.15826879717674738,,37,0.09889129855555878,,1
26,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.17454171159690227,,29,0.04903047310573246,,1
27,0.9407114624505929,0.20639285100532737,0.9863523573200993,0.1678386050034173,0.9455445544554455,0.16640525438682482,,37,0.025656364882515107,,1
28,0.9407114624505929,0.20054992266712493,0.9838709677419355,0.1678386050034173,0.9504950495049505,0.1623370257817861,,11,0.038542714862099564,,1
29,0.9525691699604744,0.21515724351263105,0.9913151364764268,0.17182853167004292,0.9405940594059405,0.17047348299186355,,38,0.04210396536546988,,1
30,0.9525691699604744,0.20931431517442858,0.9913151364764268,0.17182853167004292,0.9504950495049505,0.1623370257817861,,27,0.07802318207893164,,1
1,0.9446640316205533,0.22100017185083348,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,17_20,0.015388440929027018,,2
2,0.924901185770751,0.1947069943289225,0.9826302729528535,0.16285119667013528,0.9405940594059405,0.13792765415155378,,24_35,0.03422954517019111,,2
3,0.9565217391304348,0.21807870768173226,0.9937965260545906,0.17382349500335573,0.9405940594059405,0.17047348299186355,,31_5,0.08767913398123194,,2
4,0.9486166007905138,0.21223577934352983,0.9900744416873449,0.17083105000338653,0.9554455445544554,0.15826879717674738,,24_5,0.05659061105804798,,2
5,0.932806324110672,0.2239216360199347,0.9801488833746899,0.17881090333663774,0.9455445544554455,0.17454171159690227,,29_35,0.09809275466046034,,2
6,0.9446640316205533,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.16640525438682482,,7_13,0.03667287827898573,,2
7,0.9486166007905138,0.21807870768173226,0.9913151364764268,0.17182853167004292,0.9455445544554455,0.16640525438682482,,19_28,0.09982895841058743,,2
8,0.9446640316205533,0.20931431517442858,0.9900744416873449,0.17083105000338653,0.9504950495049505,0.1623370257817861,,28_34,0.06573149719833901,,2
9,0.9525691699604744,0.21515724351263105,0.9913151364764268,0.17182853167004292,0.9356435643564357,0.16640525438682482,,35_32,0.08000568722034497,,2
10,0.9446640316205533,0.22100017185083348,0.9913151364764268,0.17182853167004292,0.9455445544554455,0.16640525438682482,,31_5,0.09922885372552899,,2
11,0.9446640316205533,0.21515724351263105,0.9851116625310173,0.16883608667007372,0.9504950495049505,0.15420056857170866,,13_18,0.09407981908151916,,2
12,0.9407114624505929,0.2239216360199347,0.988833746898263,0.17382349500335573,0.9356435643564357,0.1826781688069797,,8_34,0.07133324728335143,,2
13,0.9486166007905138,0.20639285100532737,0.9900744416873449,0.17083105000338653,0.9554455445544554,0.15826879717674738,,27_16,0.08490782183894702,,2
14,0.9367588932806324,0.23268602852723835,0.988833746898263,0.17581845833666854,0.9207920792079208,0.18674639741201843,,13_37,0.014732841773646789,,2
15,0.932806324110672,0.2239216360199347,0.9813895781637717,0.17980838500329416,0.9405940594059405,0.17047348299186355,,4_30,0.06569310167611904,,2
16,0.9486166007905138,0.21223577934352983,0.988833746898263,0.17182853167004292,0.9554455445544554,0.15013233996666994,,10_29,0.003438068608413522,,2
17,0.9486166007905138,0.23560749269633957,0.9913151364764268,0.17581845833666854,0.9356435643564357,0.17454171159690227,,17_29,0.08473288000185739,,2
18,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.17083105000338653,0.9455445544554455,0.15826879717674738,,8_14,0.06271868123344976,,2
19,0.9446640316205533,0.21515724351263105,0.9913151364764268,0.17182853167004292,0.9356435643564357,0.16640525438682482,,30_25,0.026460734333017984,,2
20,0.9407114624505929,0.2239216360199347,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,9_23,0.011190356195800125,,2
21,0.9446640316205533,0.22100017185083348,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.17454171159690227,,38_30,0.08507396128881112,,2
22,0.9446640316205533,0.20931431517442858,0.9838709677419355,0.1678386050034173,0.9603960396039604,0.14606411136163122,,9_22,0.015087159474655498,,2
23,0.9525691699604744,0.20931431517442858,0.9900744416873449,0.17083105000338653,0.9356435643564357,0.15013233996666994,,35_23,0.06321920371821474,,2
24,0.9486166007905138,0.21807870768173226,0.9900744416873449,0.1728260133366993,0.9554455445544554,0.16640525438682482,,13_34,0.0551251785070407,,2
25,0.9565217391304348,0.2239216360199347,0.9937965260545906,0.17382349500335573,0.9455445544554455,0.16640525438682482,,24_15,0.040734336505240706,,2
26,0.9407114624505929,0.2239216360199347,0.9913151364764268,0.17182853167004292,0.9356435643564357,0.17454171159690227,,22_36,0.061697646573880216,,2
27,0.9486166007905138,0.21807870768173226,0.9875930521091811,0.1728260133366993,0.9455445544554455,0.15826879717674738,,6_24,0.09997306798355617,,2
28,0.9446640316205533,0.21515724351263105,0.9875930521091811,0.1728260133366993,0.9356435643564357,0.17454171159690227,,17_17,0.029980407389084727,,2
29,0.924901185770751,0.1947069943289225,0.9714640198511166,0.15786378833685324,0.9455445544554455,0.15013233996666994,,4_9,0.08932469275102245,,2
30,0.9525691699604744,0.21515724351263105,0.9863523573200993,0.17581845833666854,0.9356435643564357,0.17454171159690227,,5_39,0.00503698613860217,,2
